prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.05,Single,MLP,0.9317,0.71,0.8019,0.6881,33.96,0.903,0.6227,19.06,754,1975,81,3259,0.7484,0.2275
0.05,Single,XGB,0.9317,0.89,0.8153,0.7035,37.22,0.8575,0.7157,39.02,716,1488,119,3746,0.7772,0.1484
0.06,Baseline,-,0.905,-,0.905,0.5691,0.0,0.9377,0.5709,0.0,783,2246,52,2988,-,-
0.06,Single,LR,0.905,0.73,0.8112,0.6968,29.62,0.8575,0.7107,32.59,716,1514,119,3720,0.7668,0.1926
0.06,Single,MLP,0.905,0.65,0.8072,0.6997,30.31,0.7018,0.8112,56.01,586,988,249,4246,0.7365,0.1766
0.06,Single,XGB,0.905,0.88,0.8019,0.7254,36.27,0.8383,0.734,38.02,700,1392,135,3842,0.7697,0.1543
0.07,Baseline,-,0.8942,-,0.8942,0.6051,0.0,0.915,0.6047,0.0,764,2069,71,3165,-,-
0.07,Single,LR,0.8942,0.74,0.8086,0.7021,24.56,0.8479,0.7153,27.98,708,1490,127,3744,0.7639,0.1943
0.07,Single,MLP,0.8942,0.82,0.8019,0.6908,21.71,0.903,0.6347,7.59,754,1912,81,3322,0.746,0.2217
0.07,Single,XGB,0.8942,0.89,0.8086,0.7068,25.76,0.8527,0.7144,27.74,712,1495,123,3739,0.7666,0.1596
0.08,Baseline,-,0.8782,-,0.8782,0.6318,0.0,0.9006,0.6326,0.0,752,1923,83,3311,-,-
0.08,Single,LR,0.8782,0.75,0.8059,0.7108,21.46,0.8467,0.7197,23.71,707,1467,128,3767,0.7571,0.1974
0.08,Single,MLP,0.8782,0.78,0.8019,0.7177,23.34,0.8683,0.6861,14.56,725,1643,110,3591,0.7266,0.2076
0.08,Single,XGB,0.8782,0.89,0.8126,0.7108,21.46,0.8503,0.7188,23.45,710,1472,125,3762,0.7636,0.1638
0.09,Baseline,-,0.8648,-,0.8648,0.6576,0.0,0.8922,0.6616,0.0,745,1771,90,3463,-,-
0.09,Single,LR,0.8648,0.77,0.8086,0.7082,14.77,0.8503,0.7182,16.71,710,1475,125,3759,0.746,0.2013
0.09,Single,MLP,0.8648,0.87,0.8032,0.7254,19.79,0.8551,0.7037,12.42,714,1551,121,3683,0.7343,0.1988
0.09,Single,XGB,0.8648,0.89,0.8072,0.7153,16.85,0.8503,0.7182,16.71,710,1475,125,3759,0.7495,0.1724
0.1,Baseline,-,0.8447,-,0.8447,0.681,0.0,0.8802,0.6872,0.0,735,1637,100,3597,-,-
0.1,Single,LR,0.8447,0.78,0.8019,0.7181,11.64,0.8455,0.7279,13.01,706,1424,129,3810,0.7388,0.2036
0.1,Single,MLP,0.8447,0.87,0.8059,0.7266,14.3,0.8611,0.7077,6.54,719,1530,116,3704,0.6985,0.1939
0.1,Single,XGB,0.8447,0.9,0.8086,0.7155,10.84,0.8539,0.7239,11.73,713,1445,122,3789,0.7465,0.1773
0.11,Baseline,-,0.822,-,0.822,0.7019,0.0,0.8599,0.7094,0.0,718,1521,117,3713,-,-
0.11,Single,LR,0.822,0.84,0.8032,0.7151,4.44,0.8455,0.7232,4.73,706,1449,129,3785,0.7333,0.2068
0.11,Single,MLP,0.822,0.86,0.8019,0.7252,7.82,0.8515,0.7209,3.94,711,1461,124,3773,0.7177,0.2227
0.11,Single,XGB,0.822,0.9,0.8032,0.7195,5.9,0.8455,0.7298,7.03,706,1414,129,3820,0.7455,0.1807
0.12,Baseline,-,0.8019,-,0.8019,0.7218,0.0,0.8407,0.7318,0.0,702,1404,133,3830,-,-
0.12,Single,LR,0.8019,0.98,0.8005,0.723,0.43,0.8359,0.7331,0.5,698,1397,137,3837,0.726,0.2103
0.12,Single,MLP,0.8019,0.91,0.8019,0.7274,1.99,0.8395,0.7321,0.14,701,1402,134,3832,0.7168,0.3379
0.12,Single,XGB,0.8019,0.95,0.8019,0.7218,0.0,0.8407,0.7321,0.14,702,1402,133,3832,0.7401,0.1862
0.13,Baseline,-,0.7845,-,0.7845,0.7402,0.0,0.8251,0.7505,0.0,689,1306,146,3928,-,-
0.14,Baseline,-,0.7751,-,0.7751,0.76,0.0,0.812,0.7682,0.0,678,1213,157,4021,-,-
0.15,Baseline,-,0.751,-,0.751,0.7764,0.0,0.7976,0.7845,0.0,666,1128,169,4106,-,-
0.16,Baseline,-,0.7323,-,0.7323,0.7928,0.0,0.7677,0.8023,0.0,641,1035,194,4199,-,-
0.17,Baseline,-,0.7175,-,0.7175,0.808,0.0,0.7497,0.8164,0.0,626,961,209,4273,-,-
0.18,Baseline,-,0.6934,-,0.6934,0.8214,0.0,0.7341,0.8286,0.0,613,897,222,4337,-,-
0.19,Baseline,-,0.6774,-,0.6774,0.8329,0.0,0.709,0.842,0.0,592,827,243,4407,-,-
0.2,Baseline,-,0.6586,-,0.6586,0.8465,0.0,0.6898,0.8529,0.0,576,770,259,4464,-,-
0.21,Baseline,-,0.6345,-,0.6345,0.8554,0.0,0.6707,0.8619,0.0,560,723,275,4511,-,-
0.22,Baseline,-,0.6131,-,0.6131,0.8617,0.0,0.6527,0.8741,0.0,545,659,290,4575,-,-
0.23,Baseline,-,0.5971,-,0.5971,0.872,0.0,0.6335,0.8814,0.0,529,621,306,4613,-,-
0.24,Baseline,-,0.5863,-,0.5863,0.8791,0.0,0.6048,0.8884,0.0,505,584,330,4650,-,-
0.25,Baseline,-,0.5609,-,0.5609,0.8878,0.0,0.5868,0.8966,0.0,490,541,345,4693,-,-
0.26,Baseline,-,0.5395,-,0.5395,0.8945,0.0,0.576,0.9033,0.0,481,506,354,4728,-,-
